Province,Prov_ID,District,Distr_ID,Sector,Sector_ID,Cell,Cell_ID,Name,Village_ID,season,maize_pixels_n_sum
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kinyange,110105,Umucyo,11010509,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kinyange,110105,Umwembe,11010510,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kinyange,110105,Urugano,11010511,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Isangano,11010601,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Kanunga,11010602,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Kinyambo,11010603,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Kivumu,11010604,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Kora,11010605,2019_Season_A,8.745098039215687
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Mpazi,11010606,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Rugano,11010607,2019_Season_A,2.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Rugari,11010608,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Gitega,1101,Kora,110106,Ubumwe,11010609,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nyamweru,110201,Bwimo,11020101,2019_Season_A,23.050980392156863
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nyamweru,110201,Gatare,11020102,2019_Season_A,335.34509803921577
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nyamweru,110201,Mubuga,11020103,2019_Season_A,539.894117647059
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nyamweru,110201,Nyakirambi,11020104,2019_Season_A,448.0196078431374
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nyamweru,110201,Nyamweru,11020105,2019_Season_A,565.3529411764706
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nyamweru,110201,Ruhengeri,11020106,2019_Season_A,347.73333333333323
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Bibungo,11020201,2019_Season_A,787.3607843137254
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Bwiza,11020202,2019_Season_A,1540.6313725490202
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Gateko,11020203,2019_Season_A,475.878431372549
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Kagasa,11020204,2019_Season_A,701.6196078431373
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Nyabihu,11020205,2019_Season_A,1013.9686274509802
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Rutagara I,11020206,2019_Season_A,268.80392156862746
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Rutagara Ii,11020207,2019_Season_A,556.721568627451
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Nzove,110202,Ruyenzi,11020208,2019_Season_A,1963.4000000000005
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Taba,110203,Kagaramira,11020301,2019_Season_A,375.976470588235
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Taba,110203,Ngendo,11020302,2019_Season_A,562.3019607843136
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Taba,110203,Nyarurama,11020303,2019_Season_A,273.9450980392157
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Taba,110203,Nyarusange,11020304,2019_Season_A,297.4627450980393
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Taba,110203,Rwakivumu,11020305,2019_Season_A,263.9098039215687
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kanyinya,1102,Taba,110203,Taba,11020306,2019_Season_A,633.7254901960785
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Akirwanda,11030101,2019_Season_A,196.24313725490197
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Gisenga,11030102,2019_Season_A,435.29019607843134
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Kadobogo,11030103,2019_Season_A,204.40000000000003
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Kagarama,11030104,2019_Season_A,225.2
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Kibisogi,11030105,2019_Season_A,534.7921568627451
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Muganza,11030106,2019_Season_A,145.8039215686275
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Murama,11030107,2019_Season_A,248.87843137254907
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Rubuye,11030108,2019_Season_A,190.921568627451
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Ruhango,11030109,2019_Season_A,488.0666666666667
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Kigali,110301,Ryasharangabo,11030110,2019_Season_A,129.156862745098
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Agakomeye,11030201,2019_Season_A,732.7372549019608
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Akagugu,11030202,2019_Season_A,434.25098039215686
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Amahoro,11030203,2019_Season_A,1295.686274509804
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Amajyambere,11030204,2019_Season_A,356.9294117647059
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Birambo,11030205,2019_Season_A,661.0235294117649
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Isangano,11030206,2019_Season_A,214.12156862745096
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Kanyabami,11030207,2019_Season_A,229.76862745098038
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Karambo,11030208,2019_Season_A,969.3137254901961
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Mwendo,11030209,2019_Season_A,120.19215686274507
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Ruhuha,11030210,2019_Season_A,279.4039215686274
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Ubuzima,11030211,2019_Season_A,43.11372549019608
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Mwendo,110302,Umutekano,11030212,2019_Season_A,176.6470588235294
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Gakoni,11030301,2019_Season_A,813.9490196078432
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Gatare,11030302,2019_Season_A,162.24313725490197
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Giticyinyoni,11030303,2019_Season_A,230.4627450980392
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Kadobogo,11030304,2019_Season_A,312.30980392156863
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Kamenge,11030305,2019_Season_A,1652.6392156862744
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Karama,11030306,2019_Season_A,142.25098039215686
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Kiruhura,11030307,2019_Season_A,90.87843137254902
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Nyabikoni,11030308,2019_Season_A,89.65490196078431
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Nyabugogo,11030309,2019_Season_A,79.63137254901963
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Nyabugogo,110303,Ruhondo,11030310,2019_Season_A,142.90588235294115
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Misibya,11030401,2019_Season_A,197.9686274509804
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Nyabitare,11030402,2019_Season_A,486.8980392156863
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Ruhango,11030403,2019_Season_A,201.7254901960784
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Ruharabuge,11030404,2019_Season_A,114.8549019607843
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Ruriba,11030405,2019_Season_A,270.0039215686275
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Ruzigimbogo,11030406,2019_Season_A,321.49019607843144
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Ryamakomari,11030407,2019_Season_A,74.5529411764706
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Ruriba,110304,Tubungo,11030408,2019_Season_A,61.57254901960785
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Akanyamirambo,11030501,2019_Season_A,466.17254901960786
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Akinama,11030502,2019_Season_A,615.7372549019608
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Makaga,11030503,2019_Season_A,508.5294117647059
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Musimba,11030504,2019_Season_A,231.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Ruhogo,11030505,2019_Season_A,367.90196078431364
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Rwesero,11030506,2019_Season_A,247.91764705882352
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Rweza,11030507,2019_Season_A,338.0196078431373
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kigali,1103,Rwesero,110305,Vuganyana,11030508,2019_Season_A,393.2941176470587
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Buhoro,11040101,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Busasamana,11040102,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Isimbi,11040103,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Ituze,11040104,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Karama,11040105,2019_Season_A,10.71764705882353
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Karwarugabo,11040106,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Kigabiro,11040107,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Mataba,11040108,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Munini,11040109,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Ntaraga,11040110,2019_Season_A,0.8196078431372549
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Nunga,11040111,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Rurama,11040112,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Rutunga,11040113,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kamuhoza,110401,Tetero,11040114,2019_Season_A,1.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Akamahoro,11040201,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Akishinge,11040202,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Akishuri,11040203,2019_Season_A,3.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Amahumbezi,11040204,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Inganzo,11040205,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Kigarama,11040206,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Mpazi,11040207,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Mugina,11040208,2019_Season_A,2.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Ubumwe,11040209,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Ubusabane,11040210,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Umubano,11040211,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Umurinzi,11040212,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Katabaro,110402,Uruyange,11040213,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Akabeza,11040301,2019_Season_A,5.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Amahoro,11040302,2019_Season_A,0.01568627450980392
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Birama,11040303,2019_Season_A,3.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Buhoro,11040304,2019_Season_A,2.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Bwiza,11040305,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Byimana,11040306,2019_Season_A,0.8980392156862745
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Gakaraza,11040307,2019_Season_A,40.490196078431374
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Gaseke,11040308,2019_Season_A,0.33725490196078434
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Ihuriro,11040309,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Inkurunziza,11040310,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Karambi,11040311,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Kigina,11040312,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Kimisagara,11040313,2019_Season_A,4.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Kove,11040314,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Muganza,11040315,2019_Season_A,125.67843137254901
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Nyabugogo,11040316,2019_Season_A,8.470588235294118
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Nyagakoki,11040317,2019_Season_A,0.5725490196078431
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Nyakabingo,11040318,2019_Season_A,0.0
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Nyamabuye,11040319,2019_Season_A,5.47843137254902
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Sangwa,11040320,2019_Season_A,9.725490196078432
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Kimisagara,1104,Kimisagara,110403,Sano,11040321,2019_Season_A,0.08627450980392157
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kankuba,110501,Kamatamu,11050101,2019_Season_A,266.09803921568624
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kankuba,110501,Kankuba,11050102,2019_Season_A,457.83921568627454
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kankuba,110501,Karukina,11050103,2019_Season_A,2357.482352941176
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kankuba,110501,Musave,11050104,2019_Season_A,537.0509803921568
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kankuba,110501,Nyarumanga,11050105,2019_Season_A,402.77647058823544
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kankuba,110501,Rugendabari,11050106,2019_Season_A,1514.3764705882352
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Ayabatanga,11050201,2019_Season_A,133.56470588235294
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Kankurimba,11050202,2019_Season_A,362.3921568627451
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Kavumu,11050203,2019_Season_A,137.2901960784314
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Mubura,11050204,2019_Season_A,1413.2549019607845
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Murondo,11050205,2019_Season_A,741.1647058823528
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Nyakabingo,11050206,2019_Season_A,301.93333333333334
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Kavumu,110502,Nyarubuye,11050207,2019_Season_A,452.1176470588236
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Burema,11050301,2019_Season_A,743.9843137254904
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Gahombo,11050302,2019_Season_A,346.6941176470588
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Kabeza,11050303,2019_Season_A,511.3058823529411
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageragere,1105,Mwendo,110503,Karambi,11050304,2019_Season_A,166.39999999999998
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Kwisanga,11050305,2019_Season_A,655.0666666666667
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Mageragere,11050306,2019_Season_A,332.9098039215686
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Mataba,11050307,2019_Season_A,319.7333333333333
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Mataba,110503,Rushubi,11050308,2019_Season_A,1496.8078431372546
Kigali Town/Umujyi wa Kigali,1,Nyarugenge,11,Mageregere,1105,Ntungamo,110504,Akanakamageragere,11050401,2019_Season_A,129.321568627451
